county,dhhs_cases,dhhs_deaths

Alamance County,42,0
Alexander County,3,0
Alleghany County,2,0
Anson County,12,0
Ashe County,4,0
Beaufort County,13,0
Bertie County,16,1
Bladen County,1,0
Brunswick County,35,1
Buncombe County,37,3
Burke County,59,4
Cabarrus County,191,3
Caldwell County,19,0
Carteret County,22,1
Caswell County,3,0
Catawba County,35,1
Chatham County,77,0
Cherokee County,12,1
Chowan County,5,0
Clay County,3,0
Cleveland County,40,1
Columbus County,37,1
Craven County,31,1
Cumberland County,87,2
Currituck County,2,0
Dare County,11,1
Davidson County,87,2
Davie County,22,2
Duplin County,18,0
Durham County,330,2
Edgecombe County,33,1
Forsyth County,123,4
Franklin County,66,3
Gaston County,92,3
Gates County,4,0
Granville County,98,4
Greene County,13,0
Guilford County,149,10
Halifax County,25,0
Harnett County,50,2
Haywood County,3,0
Henderson County,97,4
Hertford County,5,1
Hoke County,20,0
Iredell County,70,2
Jackson County,2,0
Johnston County,106,8
Jones County,8,1
Lee County,16,0
Lenoir County,14,0
Lincoln County,15,0
Macon County,2,1
Martin County,7,0
McDowell County,18,0
Mecklenburg County,"1,015",15
Mitchell County,4,0
Montgomery County,15,1
Moore County,66,0
Nash County,40,1
New Hanover County,56,1
Northampton County,65,0
Onslow County,29,1
Orange County,161,2
Pamlico County,6,0
Pasquotank County,15,0
Pender County,5,0
Perquimans County,8,0
Person County,11,0
Pitt County,69,1
Polk County,9,0
Randolph County,56,2
Richmond County,12,1
Robeson County,11,0
Rockingham County,15,2
Rowan County,206,3
Rutherford County,45,2
Sampson County,13,0
Scotland County,9,0
Stanly County,17,1
Stokes County,10,0
Surry County,10,0
Transylvania County,6,0
Tyrrell County,3,0
Union County,112,3
Vance County,23,1
Wake County,510,0
Warren County,3,0
Washington County,18,2
Watauga County,8,0
Wayne County,80,2
Wilkes County,4,1
Wilson County,75,3
Yadkin County,11,1
