county,dhhs_cases,dhhs_deaths

Alamance County,152,4
Alexander County,10,0
Alleghany County,7,0
Anson County,38,0
Ashe County,8,0
Beaufort County,24,0
Bertie County,60,2
Bladen County,51,1
Brunswick County,50,2
Buncombe County,92,4
Burke County,131,11
Cabarrus County,341,17
Caldwell County,55,0
Camden County,2,0
Carteret County,29,3
Caswell County,38,1
Catawba County,78,1
Chatham County,447,11
Cherokee County,18,1
Chowan County,10,0
Clay County,5,0
Cleveland County,50,2
Columbus County,196,13
Craven County,51,4
Cumberland County,347,9
Currituck County,9,0
Dare County,15,1
Davidson County,201,10
Davie County,32,2
Duplin County,225,3
Durham County,847,32
Edgecombe County,151,7
Forsyth County,369,5
Franklin County,111,20
Gaston County,168,5
Gates County,11,0
Graham County,2,0
Granville County,164,6
Greene County,33,1
Guilford County,574,38
Halifax County,85,1
Harnett County,212,13
Haywood County,16,0
Henderson County,224,27
Hertford County,48,1
Hoke County,120,0
Hyde County,1,0
Iredell County,147,5
Jackson County,21,1
Johnston County,201,16
Jones County,18,2
Lee County,246,1
Lenoir County,113,4
Lincoln County,39,0
Macon County,3,1
Madison County,1,0
Martin County,29,1
McDowell County,29,1
Mecklenburg County,"2,043",61
Mitchell County,5,0
Montgomery County,41,2
Moore County,110,9
Nash County,118,3
New Hanover County,96,3
Northampton County,102,7
Onslow County,54,2
Orange County,248,33
Pamlico County,8,0
Pasquotank County,81,3
Pender County,36,1
Perquimans County,17,2
Person County,30,1
Pitt County,162,2
Polk County,29,0
Randolph County,317,5
Richmond County,89,2
Robeson County,365,4
Rockingham County,39,2
Rowan County,480,24
Rutherford County,151,5
Sampson County,145,1
Scotland County,36,0
Stanly County,29,4
Stokes County,11,0
Surry County,33,1
Swain County,5,0
Transylvania County,7,0
Tyrrell County,4,0
Union County,294,16
Vance County,161,12
Wake County,"1,013",23
Warren County,23,0
Washington County,25,3
Watauga County,9,0
Wayne County,726,13
Wilkes County,202,1
Wilson County,203,8
Yadkin County,49,1
Yancey County,7,0
