County,Cases,Deaths
Alamance,544,23
Alexander,43,0
Alleghany,30,0
Anson,78,1
Ashe,42,1
Avery,6,0
Beaufort,43,0
Bertie,134,4
Bladen,164,2
Brunswick,163,3
Buncombe,408,34
Burke,595,16
Cabarrus,614,23
Caldwell,219,3
Camden,3,0
Carteret,42,3
Caswell,98,1
Catawba,326,11
Chatham,749,37
Cherokee,21,1
Chowan,18,0
Clay,8,0
Cleveland,127,2
Columbus,379,28
Craven,241,5
Cumberland,811,30
Currituck,15,0
Dare,22,1
Davidson,544,12
Davie,126,2
Duplin,1072,20
Durham,2284,51
Edgecombe,231,9
Forsyth,1910,18
Franklin,197,21
Gaston,392,8
Gates,24,1
Graham,6,0
Granville,610,14
Greene,106,2
Guilford,1806,81
Halifax,217,1
Harnett,352,30
Haywood,63,0
Henderson,382,48
Hertford,140,7
Hoke,288,1
Hyde,2,0
Iredell,363,5
Jackson,55,1
Johnston,677,20
Jones,25,3
Lee,554,4
Lenoir,261,8
Lincoln,108,0
Macon,158,1
Madison,3,0
Martin,78,4
McDowell,106,1
Mecklenburg,5861,117
Mitchell,13,0
Montgomery,170,5
Moore,266,11
Nash,248,4
New Hanover,281,5
Northampton,160,14
Onslow,136,2
Orange,415,40
Pamlico,13,0
Pasquotank,120,14
Pender,117,1
Perquimans,26,2
Person,65,1
Pitt,416,2
Polk,51,4
Randolph,842,17
Richmond,188,4
Robeson,900,14
Rockingham,118,2
Rowan,788,36
Rutherford,197,6
Sampson,627,4
Scotland,99,1
Stanly,124,4
Stokes,89,0
Surry,294,2
Swain,32,0
Transylvania,16,1
Tyrrell,4,0
Union,616,21
Vance,377,28
Wake,2448,41
Warren,113,2
Washington,32,3
Watauga,39,0
Wayne,1367,20
Wilkes,513,6
Wilson,456,13
Yadkin,225,4
Yancey,23,0
