county,cases,deaths
Alamance,1088,37
Alexander,84,0
Alleghany,31,0
Anson,125,1
Ashe,52,1
Avery,9,0
Beaufort,77,0
Bertie,141,4
Bladen,357,3
Brunswick,479,4
Buncombe,547,36
Burke,1016,20
Cabarrus,1064,27
Caldwell,398,4
Camden,24,0
Carteret,76,3
Caswell,135,1
Catawba,720,10
Chatham,936,42
Cherokee,33,1
Chowan,24,0
Clay,9,0
Cleveland,277,3
Columbus,513,37
Craven,354,6
Cumberland,1142,41
Currituck,18,0
Dare,43,1
Davidson,925,15
Davie,188,3
Duplin,1438,27
Durham,3571,61
Edgecombe,309,9
Forsyth,2935,34
Franklin,332,21
Gaston,1004,11
Gates,27,2
Graham,9,0
Granville,786,19
Greene,174,2
Guilford,2743,111
Halifax,298,4
Harnett,615,30
Haywood,88,0
Henderson,569,49
Hertford,160,10
Hoke,357,3
Hyde,10,0
Iredell,731,7
Jackson,96,1
Johnston,1393,29
Jones,35,3
Lee,798,8
Lenoir,363,10
Lincoln,240,1
Macon,277,1
Madison,12,0
Martin,120,4
McDowell,222,1
Mecklenburg,10592,146
Mitchell,29,0
Montgomery,298,7
Moore,439,13
Nash,437,4
New Hanover,810,5
Northampton,180,15
Onslow,258,3
Orange,635,41
Pamlico,19,0
Pasquotank,204,15
Pender,235,1
Perquimans,36,2
Person,104,1
Pitt,660,6
Polk,72,4
Randolph,1149,29
Richmond,273,5
Robeson,1175,38
Rockingham,218,2
Rowan,1163,39
Rutherford,279,7
Sampson,1018,6
Scotland,134,0
Stanly,359,5
Stokes,125,1
Surry,451,2
Swain,51,0
Transylvania,21,1
Tyrrell,8,0
Union,1151,23
Vance,499,36
Wake,4816,46
Warren,159,5
Washington,38,3
Watauga,65,0
Wayne,1767,25
Wilkes,570,6
Wilson,682,18
Yadkin,322,4
Yancey,43,0
