county,cases,deaths,date
Alamance,1309,37,7/7/2020
Alexander,134,1,7/7/2020
Alleghany,37,0,7/7/2020
Anson,162,1,7/7/2020
Ashe,60,1,7/7/2020
Avery,18,0,7/7/2020
Beaufort,110,0,7/7/2020
Bertie,151,4,7/7/2020
Bladen,406,4,7/7/2020
Brunswick,677,7,7/7/2020
Buncombe,711,29,7/7/2020
Burke,1129,20,7/7/2020
Cabarrus,1399,33,7/7/2020
Caldwell,534,4,7/7/2020
Camden,33,0,7/7/2020
Carteret,110,3,7/7/2020
Caswell,147,2,7/7/2020
Catawba,1018,13,7/7/2020
Chatham,999,43,7/7/2020
Cherokee,48,2,7/7/2020
Chowan,30,0,7/7/2020
Clay,11,0,7/7/2020
Cleveland,407,5,7/7/2020
Columbus,570,39,7/7/2020
Craven,405,7,7/7/2020
Cumberland,1402,41,7/7/2020
Currituck,21,0,7/7/2020
Dare,77,1,7/7/2020
Davidson,1114,15,7/7/2020
Davie,234,3,7/7/2020
Duplin,1595,28,7/7/2020
Durham,4148,67,7/7/2020
Edgecombe,352,9,7/7/2020
Forsyth,3423,37,7/7/2020
Franklin,403,21,7/7/2020
Gaston,1443,12,7/7/2020
Gates,27,2,7/7/2020
Graham,10,0,7/7/2020
Granville,850,21,7/7/2020
Greene,192,3,7/7/2020
Guilford,3208,118,7/7/2020
Halifax,329,4,7/7/2020
Harnett,712,30,7/7/2020
Haywood,107,0,7/7/2020
Henderson,738,50,7/7/2020
Hertford,174,10,7/7/2020
Hoke,415,3,7/7/2020
Hyde,20,0,7/7/2020
Iredell,945,7,7/7/2020
Jackson,147,1,7/7/2020
Johnston,1789,33,7/7/2020
Jones,39,3,7/7/2020
Lee,875,8,7/7/2020
Lenoir,391,11,7/7/2020
Lincoln,334,1,7/7/2020
Macon,293,1,7/7/2020
Madison,15,0,7/7/2020
Martin,148,4,7/7/2020
McDowell,280,2,7/7/2020
Mecklenburg,13317,154,7/7/2020
Mitchell,51,0,7/7/2020
Montgomery,358,9,7/7/2020
Moore,543,13,7/7/2020
Nash,552,6,7/7/2020
New Hanover,1161,7,7/7/2020
Northampton,189,15,7/7/2020
Onslow,359,3,7/7/2020
Orange,848,42,7/7/2020
Pamlico,26,0,7/7/2020
Pasquotank,225,17,7/7/2020
Pender,303,2,7/7/2020
Perquimans,37,2,7/7/2020
Person,123,1,7/7/2020
Pitt,844,6,7/7/2020
Polk,89,4,7/7/2020
Randolph,1330,31,7/7/2020
Richmond,326,7,7/7/2020
Robeson,1383,42,7/7/2020
Rockingham,267,2,7/7/2020
Rowan,1361,41,7/7/2020
Rutherford,352,9,7/7/2020
Sampson,1117,7,7/7/2020
Scotland,152,2,7/7/2020
Stanly,481,5,7/7/2020
Stokes,147,1,7/7/2020
Surry,525,2,7/7/2020
Swain,61,1,7/7/2020
Transylvania,37,1,7/7/2020
Tyrrell,19,0,7/7/2020
Union,1551,25,7/7/2020
Vance,532,39,7/7/2020
Wake,6299,52,7/7/2020
Warren,174,5,7/7/2020
Washington,41,3,7/7/2020
Watauga,104,0,7/7/2020
Wayne,1926,29,7/7/2020
Wilkes,592,6,7/7/2020
Wilson,800,23,7/7/2020
Yadkin,357,5,7/7/2020
Yancey,51,0,7/7/2020
