county,dhhs_cases,dhhs_deaths

Alamance County,99,1
Alexander County,4,0
Alleghany County,3,0
Anson County,25,0
Ashe County,5,0
Beaufort County,21,0
Bertie County,44,2
Bladen County,21,0
Brunswick County,43,2
Buncombe County,63,4
Burke County,102,8
Cabarrus County,296,11
Caldwell County,32,0
Camden County,1,0
Carteret County,27,3
Caswell County,22,0
Catawba County,53,1
Chatham County,316,8
Cherokee County,16,1
Chowan County,6,0
Clay County,5,0
Cleveland County,47,2
Columbus County,139,9
Craven County,40,4
Cumberland County,238,7
Currituck County,5,0
Dare County,11,1
Davidson County,163,7
Davie County,30,2
Duplin County,92,0
Durham County,728,18
Edgecombe County,87,4
Forsyth County,219,5
Franklin County,104,19
Gaston County,139,3
Gates County,7,0
Graham County,2,0
Granville County,136,5
Greene County,16,0
Guilford County,381,26
Halifax County,56,1
Harnett County,155,7
Haywood County,10,0
Henderson County,177,20
Hertford County,37,1
Hoke County,80,0
Hyde County,1,0
Iredell County,111,5
Jackson County,13,0
Johnston County,150,12
Jones County,14,2
Lee County,156,0
Lenoir County,65,3
Lincoln County,26,0
Macon County,3,1
Madison County,1,0
Martin County,16,0
McDowell County,22,1
Mecklenburg County,"1,627",47
Mitchell County,5,0
Montgomery County,33,1
Moore County,79,3
Nash County,90,3
New Hanover County,75,3
Northampton County,82,4
Onslow County,45,1
Orange County,216,16
Pamlico County,7,0
Pasquotank County,36,1
Pender County,13,0
Perquimans County,13,0
Person County,20,1
Pitt County,123,2
Polk County,20,0
Randolph County,185,3
Richmond County,47,2
Robeson County,157,3
Rockingham County,26,2
Rowan County,381,20
Rutherford County,139,4
Sampson County,63,0
Scotland County,24,0
Stanly County,29,4
Stokes County,11,0
Surry County,13,0
Swain County,3,0
Transylvania County,7,0
Tyrrell County,4,0
Union County,240,9
Vance County,88,6
Wake County,821,17
Warren County,10,0
Washington County,24,2
Watauga County,9,0
Wayne County,655,10
Wilkes County,33,1
Wilson County,157,6
Yadkin County,16,1
